2016-09-12 20:28:02,769 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-12 20:28:02,771 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:28:02,772 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-12 20:28:27,439 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact aspectj:aspectjrt:jar:1.5.4 has been relocated to org.aspectj:aspectjrt:jar:1.5.4
2016-09-12 20:28:46,777 [JavaFX Application Thread] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-09-12 20:28:57,176 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/imreszanyi/dev/work/epam/plural/aspect/workspace/aspect1
2016-09-12 20:28:57,176 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
2016-09-12 20:28:57,324 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:28:57,328 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-12 20:28:57,331 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:28:57,333 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-12 20:29:24,218 [Worker-8] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/imreszanyi/dev/work/epam/plural/aspect/workspace/aspect1
2016-09-12 20:29:24,219 [Worker-8] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B compile
2016-09-12 20:30:11,656 [JavaFX Application Thread] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-09-12 20:30:42,162 [Worker-1] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/imreszanyi/dev/work/epam/plural/aspect/workspace/aspect1
2016-09-12 20:30:42,162 [Worker-1] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B compile
2016-09-12 20:31:10,506 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/imreszanyi/dev/work/epam/plural/aspect/workspace/aspect1
2016-09-12 20:31:10,506 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B compile
2016-09-12 20:31:10,661 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:31:10,665 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-12 20:31:10,667 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:31:10,668 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-12 20:35:34,075 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:35:34,090 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-09-12 20:35:34,110 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:35:34,111 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-12 20:35:35,126 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:35:35,127 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-12 20:35:35,129 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:35:35,130 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-12 20:37:23,480 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:37:23,483 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-09-12 20:37:23,485 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-12 20:37:23,486 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
